src,tgt,cosine,polysemy,pair_type,lang_pair
the,le,0.5615969300270081,unknown,translation,en-fr
the,les,0.5446678996086121,unknown,translation,en-fr
the,la,0.60969078540802,unknown,translation,en-fr
and,et,0.6188103556632996,unknown,translation,en-fr
was,fut,0.457501083612442,unknown,translation,en-fr
was,etait,0.49274519085884094,unknown,translation,en-fr
was,était,0.5315443277359009,unknown,translation,en-fr
for,pour,0.6476181745529175,unknown,translation,en-fr
that,que,0.5943607687950134,unknown,translation,en-fr
that,cela,0.4532587230205536,unknown,translation,en-fr
with,avec,0.7176553606987,unknown,translation,en-fr
from,du,0.46836042404174805,unknown,translation,en-fr
from,de,0.5354881286621094,unknown,translation,en-fr
from,depuis,0.4985571801662445,unknown,translation,en-fr
this,ceci,0.4917769134044647,unknown,translation,en-fr
this,cet,0.5425760746002197,unknown,translation,en-fr
this,cette,0.6589608192443848,unknown,translation,en-fr
this,cela,0.4935648441314697,unknown,translation,en-fr
this,ce,0.5252747535705566,unknown,translation,en-fr
utc,utc,1.0000001192092896,unknown,translation,en-fr
utc,tuc,0.8084390163421631,unknown,translation,en-fr
his,sa,0.4601999521255493,unknown,translation,en-fr
his,his,1.0000001192092896,unknown,translation,en-fr
his,ses,0.485443115234375,unknown,translation,en-fr
his,son,0.4643286168575287,unknown,translation,en-fr
not,not,1.0,unknown,translation,en-fr
not,non,0.5372642874717712,unknown,translation,en-fr
not,pas,0.4982978105545044,unknown,translation,en-fr
are,sont,0.5913167595863342,unknown,translation,en-fr
talk,parler,0.5221689939498901,monosemous,translation,en-fr
talk,parle,0.5302353501319885,monosemous,translation,en-fr
talk,talk,1.0000001192092896,monosemous,translation,en-fr
talk,parlez,0.5486525297164917,monosemous,translation,en-fr
which,lesquels,0.4600834250450134,unknown,translation,en-fr
which,laquelle,0.5217475295066833,unknown,translation,en-fr
which,lequel,0.49702414870262146,unknown,translation,en-fr
also,également,0.6565872430801392,unknown,translation,en-fr
also,aussi,0.601934015750885,unknown,translation,en-fr
also,egalement,0.46801868081092834,unknown,translation,en-fr
were,étaient,0.5456539392471313,unknown,translation,en-fr
but,mais,0.5571654438972473,unknown,translation,en-fr
have,avoir,0.5508980751037598,unknown,translation,en-fr
have,ont,0.4664504826068878,unknown,translation,en-fr
one,un,0.4451389014720917,unknown,translation,en-fr
one,une,0.5214155316352844,unknown,translation,en-fr
one,one,1.0,unknown,translation,en-fr
new,nouveau,0.6393256783485413,polysemous,translation,en-fr
new,nouvelle,0.6343070268630981,polysemous,translation,en-fr
new,nouvelles,0.5232609510421753,polysemous,translation,en-fr
new,nouveaux,0.5776368379592896,polysemous,translation,en-fr
new,nouveautés,0.5938878655433655,polysemous,translation,en-fr
first,première,0.6050846576690674,polysemous,translation,en-fr
first,premières,0.652766764163971,polysemous,translation,en-fr
